Horas Jogadas,Idioma,Review,Recomendado,Votos Úteis,Data da Review
314,english,"After finishing this game I felt compelled to write a review.

Have you ever wondered what it would be like being blind? What it truly entails? This game gives you a glimpse in what life would be like being blind. The concept is unique; You play as a blind woman traversing a medieval world. As you are playing a blind woman, you literally stare at a black screen (with coloured lights to reflect the type of environment that you are in) for a few hours.

The feat accomplished here is not small; the players engagement entirely depends on the voice acting, and the story being told. The vale does this masterfully. 

The vale has an incredible sound design, which makes you feel immersed in the world that it is presenting itself to you. The game made it a point to make sure the player understands that while being blind is limiting, you are in no way helpless. Everyone relies on somebody, and this is no different in the game.

Movement relies on the sound stage (hence the recommendation of headphones). You navigate the world purely based on sound. This can be a fun, but also perhaps a terrifying experience. Since you have no visual on anything, you literally only have sound to go by. This is also reflected by the main characters state when things unbeknownst to her are happening; she can only infer based on sound. This also applies to the combat in the game. Based on directional sound, the player needs to either block or attack at the right time based on sound cues. This makes for a very fun (albeit sometimes hard) experience to survive combat encounters (based on the difficulty setting).

I really recommend you try out this game, its an experiance in and of itself.
",TRUE,103,2021-09-13 13:08:15
383,english,"The Vale caught my interest as it is a completely audio-based game, something I have never encountered thus far.

It's comparable to an audio drama, expect for the added agency you have via the gameplay, which is surprisingly fun with various elements that switch it up every now and then. It, together with the excellent sound design and voice acting, made for an immersive, unique experience I would very much like to see more developers test around with. The in-game menus can be navigated by audio only, but are of course also visible. Headphones are a must as you need to differentiate between the directions sounds are coming from in combat.

The only thing I would have liked is just... more. I loved Alex's story, the people she met along the way, as well as the RPG mechanics. But it really is quite short, so be aware of that. 

To conclude, I'm glad I stumbled upon this game and I hope other developers pick up on its ideas and the potential it has, for accessibility's sake and for pushing the medium itself.",TRUE,25,2021-11-30 23:47:50
524,english,"Pros: 
Fully blind accessible
Good story
Don't need a good computer to play it
Interesting combat mechanics

Cons:
Fell asleep while playing the game a few times because I had my eyes closed for max immersion

Overall, 9.5/10, would recommend this game to everyone who I meet.",TRUE,23,2021-12-28 21:52:19
467,english,"It's difficult to explain in words just how special this game is, but I can try.

The Vale is, quite simply, marvelous. In this game, you play as a blind princess in a medieval fantasy world filled with monsters, bandits, and soldiers trying to kill you. Yes, this game is designed to be played without vision, but make no mistake, that's not a gimmick here. This is a full, complete game, with a rich world, RPG elements, side quests, branching paths, moral choices, the works. If anything, removing the visuals opens up an entirely new style of play that I've never had the chance to experience before. You are listening for every footstep and sword swing, using your ears to guide you through the experience. It's intensely gratifying and rewarding, and it's backed up by the best sound design in the business. The Vale places you into a vivid and lush world, and because you need to really focus on hearing everything around you, it feels like you're really there. It says something that the most immersive game I've played in years has no visuals.

The Vale includes a surprisingly complex combat system, with enough depth and choice to satisfy a wide variety of playstyles. Stealth and ranged combat are both options, as well as magic, and different methods of hand-to-hand combat. Throw in a few incredible boss fights and a bunch of different enemy types, each with their own attack pattern, and you got a recipe that will please any fan of action.

Of course, the real highlight in my mind is the story. All the characters here are wonderfully fleshed out, carried by some spectacular voice acting and great chemistry. The plot is filled with enough intrigue and twists to keep me not only interested but invested. I admit, there were a handful of moments where I did tear up a bit. And, not to get into spoilers, but The Vale sticks the landing with a satisfying ending.

If you're put off by the concept of playing an action RPG with no visuals, trust me, you do not want to miss this. Rather than detracting, it adds an entirely new dimension to a formula that had been getting stale for some time. The Vale is the kind of game that sticks with you long after you're done with it. If anything, it's worth it just to support a developer doing great work on making games accessible. Go on this journey. You won't come out the same way.

Oh, and it should go without saying, but you're gonna want a good pair of headphones for this one.",TRUE,22,2021-12-22 03:24:10
132,english,"Saw this game promoted on Axios, really liked the idea of playing as a blind hero. Have been playing for an hour and a half and combat is a lot more interesting than I thought. 

Play this blindfolded (I used a sleeping mask) and with over the ear headphones or a surround system, I don't believe it can be enjoyed with cheap computer speakers.",TRUE,29,2021-08-20 01:43:05
324,english,"A classic well-written story about a blind princess' journey through a country under invasion.

This is a game that is played by following the sound queues, it is fully sound-based and everything is voiced, all the menus and options included. Fully accessible for people with visual impairments and is a worthy experience for anybody else.

The sound engine is quite simplistic, especially compared to other games with strong superiour sound work (example - Hunt: Showdown), but it is serviceable.

So is combat - serviceable. Enemies attack from three sides with audio cues (some of them are harder to decode than others), each enemy type has different patterns of attacks (there are 5 types of enemies, some vary their patterns, some have a gimmick). You have 2 types of attacks, directional block, stamina management (no stam bar) and a couple of extra abilities. 

The voice work is well-produced and well-written, despite the fantasy tropes, The music is ok, so are the visuals - you get some if you wanna look at your screen.

The whole game can be completed in about 5 hours.

While being nothing special as a fighting marvel, it is a game that tries and, in my opinion, prevails at a goal of making a uniquely accessible game. Considering it's made by a small team, The Vale is a gem of a journey.

Worth buying, playing and supporting.",TRUE,25,2022-02-13 10:14:51
353,english,"If the idea of a game that you can play with your eyes closed interests you, then you should definitely play The Vale. It features a touching and gripping story with great characters, and it explores its audio-led gameplay in many interesting and creative ways.",TRUE,11,2022-12-10 21:15:15
380,english,"I am not visually impaired in any way. Before playing this game I'd never really considered how the visually impaired may be locked out of my favorite hobby. So if you're looking to expand your perception of the world, look no further.

Aside from the above, The Vale manages to retain many of the trappings of a good RPG, all while maintaining a unique game experience that can be played entirely with your eyes closed.

I highly recommend checking out The Vale.",TRUE,17,2022-04-23 20:35:28
300,english,"I'm a sighted person and I greatly enjoy the game! The navigation is easy with every major point in a town making some kind of distinctive noise. The battle system is creative with different strategies you can use, reacting to the acustic clues the enemies make. The quest system is nicely solved by entering a tavern, navigating through available quests and instantly teleporting to the place where you need to be.
This is well made and I hope the developers come up with more creative ideas to make other genres available for blind people.",TRUE,11,2022-12-19 19:37:35
466,english,"I live in the dark... 
I can relate to the character in this game, and she, definitely could relate to me. 

I remember playing, the blue jar, and the papa sangre series and the blind legend. I love these games. They give me the freedom to do, the seemingly impossible. 

I know everyone's review review of this game, comes from a place, based on their own life and experience. I would like to share mine... 

Firstly... To play this game, I used a set of audio-Technica over the ear monitors. 

I play the entire game, in two settings, on the steam deck.

I did not feel like the game was too short, or too long. 

The characters in The game, where tangibly real. Human... 

When I started this game, I had no expectations. I simply enjoyed the game, as it was. I am not going to compare it with anything, as I truly believe that a game, is its own thing. It's own world, with its own story to tell. 

This is a linear experience. I believe this is absolutely fine, especially for the first of it series. I truly have no reason to believe, that's something like this could not evolve into an absolute open world game. I also believe, given the controls, along without a accused and things based on other games, that this would not be a problem to navigate. There are, after all, RPGs in development, made for those that cannot see. 

I love the sound stage. Though I believe this game was not made with special audio in mind, the stereo implementation, is nevertheless, effective. 

I loved all the submissions, though I wish there were more of them. More gear, more characters. More everything. No it isn't to say that this game is lacking. 

As a whole, I absolutely loved the experience. The games controls are logical and easy to use., The game is emotionally available and offers a variety of choices, based on the kind of person you are. Play your way. 

When the game is over, I find myself wondering what all of the characters are doing now? Hoping they are okay, wondering what adventures are yet to come? Well I hear from my friends again..? 

A world has been built here, and I sank myself into it. 

My home, is that it is only the beginning. 

A game made for me, to play in a world, that wasn't made for me... 

We need more games like this. 

Just because you perhaps, are not visually impaired or blind, doesn't necessarily mean that you will not enjoy this game. 

If playing a game, is all about new experiences, then why not give it a try. Learn to live another way. Learn to play, another way. Those people that you perhaps think, are significantly limited because they cannot see, perhaps, this may change your perspective. 

Thank you to the developers and all those involved that came together to create something beautiful. 
Something very special.

Sit back. Close your eyes and see... 
I think you will find, that this game, has some of the very best graphics, that you will ever see in your lifetime. 

You get, what you give.

 If you have an especially incredible imagination, then you are in for an outstanding experience.

I am very much looking forward to the next time the fallen squirrel plummets from a tree near me.
I promise... I will be right there to catch you. 

With the the utmost respect and a heart full of gratitude.

Kinsman",TRUE,10,2024-12-23 13:40:15
124,english,"Really like the concept, now i can rest my eyes while playing. What will be mom's reason for me not playing games now?",TRUE,23,2023-08-06 06:45:54
380,english,"Never played a game like this.
Now I only want to play games like this.
What a journey, superb voice acting, interesting characters and story.
Give it a try you won't be disappointed.",TRUE,14,2022-07-14 19:14:05
504,english,"What a cool concept! 

This game obviously lends itself to a strong narrative focus, but still has action-y bits to keep things interesting. 

I feel like I was really well eased into the whole ""Learning to play without seeing"" thing, with the tutorial being spaced out as new concepts got introduced. It even seems like background noise is pretty minimal early on, but as you get used to the game, picks up a bit. So even just hearing the right thing is a challenge that levels up as you go.

Loved the story, and the voice acting (And menu narration) was phenomenal. Wasn't really necessary, but I played blindfolded just so I could get the full experience of going through menus while being guided by a voice.",TRUE,16,2021-08-20 15:37:02
577,english,"What an absolute experience this was. One of the most unique and amazing games I've ever played.

For that sweet immersion, I suggest putting on your best pair of headphones, a blindfold (and try not to peek), and definitely no eating/chewing while playing bc being able to hear the audio is super important!!

[spoiler]Also, there's a dog. And you can feed it, pet it, and call it a good girl.

AND OH MY GOD. ALEX AND SHEPHERD. THEY ARE IN LOVE, YOUR HONOR.[/spoiler]

Give me part 2. Now.",TRUE,9,2022-12-30 13:18:00
461,english,"Great experience providing a novel way to interact with games for me. The implications on game design and accessibility is immense. Hope there will be a sequel.



10/10 Recommend Game I DO. (Happy Yoda Noises)",TRUE,13,2024-08-06 14:53:09
9367,english,I loved The Vale!! I actually put on a blindfold to play so I could focus on the sounds. Great story line! I don't want to give too much away here but I wish there was more. What happens next? The game ended and it felt like a big power up. Game one we face the enemy horde and game two we face the Fae...just a suggestion.,TRUE,11,2022-06-06 23:33:34
105,english,"i put a blindfold on to play this game and kept it on while i went downstairs to make tea to maintain immersion, and i didnt spill a drop
10/10 extremely cool experience",TRUE,8,2025-06-26 20:46:59
541,english,"Excellent game.

A truly unique experience.

The sound design, music, and voice acting really shine and allow one to be immersed in this game.

The game mechanics are simple, but even so the game manages to set interesting challenges.

The story is very good and full of emotion.

Whether you are a visually impaired person or not, this game is a unique experience and 100% recommended.",TRUE,10,2023-07-03 02:06:56
87,english,"Let's get this out of the way immediately, this game is fantastic.
It is an audiogame similar in some respect to the game A Blind Legend with added layers of RPG.
You play the female protagonist who is blind. As she goes along you are taught how to use the sword and board along with bow and arrow and magic. All this with no need to use your eyes, just your ears.
Earn money by completing quests, earn or buy better gear.
Full text to speech on all menus and fantastic audio all round.
Multiple skill levels.
Acheivements.
All in all this is the best audiogame I have played and I wholeheartedly recommend this game.",TRUE,17,2021-08-22 20:49:56
556,english,"This is a very enjoyable game. [10/10] 
I would recomend this to anyone and even try to convince people to try it. The story is interesting and well written.

Please translate the game to other languages! I'd love to get my family/friends to expierience this in german so they can understand.

I can't confirm what the few negative reviews I saw here said. 
I try to give my thoughts on the points those brought up. It is part of the Story to lose sometimes, don't be deterred by that. Someone criticized that you can't set different sound levels for SFX/Dialog/etc. - imho that is not a flaw, that is done on purpose because the mixture of different sounds is an important gameplay element. Someone said in combat gameplay is a mess and I disagree strongly - yes it gets confusing at times and that is what it should be or better has to be. You need to learn to listen properly first, then you can get good at combat in this game. You are supposed to be disoriented in some situations - you are playing as a blind person afterall and that is part of the experience.

Play this game! :D Have a nice day!",TRUE,11,2022-03-15 19:17:30
570,english,"This is a great game, with a unique concept and a terrific voice acting and sound design. I really hope it inspires more people to make games that break the mold somehow, giving us a fresh experience and being accessible to people that usually don't get to enjoy this particular kind of media.",TRUE,7,2021-10-27 16:03:17
88,english,"As a non-native english listener with problems to understand voices (even, in a lesser extent, in my native language), that game is really hard to enjoy because of the absence of subtitles.

Listening to dialogs without having any text support always led me to fatigue and miscomprehension. This is the same here.
It seems like a very interesting experience, but as I played the few first minutes of the game, i'm not sure i can say how many different people talked, nor who they are despite some titles and links were dropped.

What i understood was that there was someone (who smell very bad) that i needed to punish for leaving some king near a cliff while playing a game of some sort. Based on description and reviews, i'm far enough from the real plot to not wanting to go back to that game.

Subtitles would greatly help, but doesn't exists.

Note that, if you are fluent, it shouldn't be hard, so you should definitively try that game. I'm just bad at understanding voices.

I'm quite frustrated by my inhability.
",FALSE,41,2022-04-11 14:37:39
471,english,"Ever since I lost my sight a few years ago I have been on the lookout for good games that I am still able to play. Most audio games are light on depth, but this one has a bit of depth to the gameplay. I enjoyed the story and the voice acting and sound design were good. Hopefully there will be a sequel or just more blind accessible games.",TRUE,288,2021-11-24 23:41:22
418,english,"It's a great game with an amazing story. You play as a princess who gets lost in the land far away from the city. A shepherd helps you find your way back to the castle and on your way there you chose to help people, ignore them, or fight them. It's worth the money for how great it is. You can play it even if you're blind so make sure you have headphones since it relies heavily on sound.",TRUE,5,2022-11-04 19:11:38
46,english,"I hate to leave a negative review here, because this game is a very cool attempt at something both artistically new and morally correct. I mean, hey, removing the video part from video games? Making a game completely without a visual aspect, which also doubles as making it accessible to blind people? What's not to be intrigued by in this proposition?

The problem with The Vale is simple. It's just not very good of a game. It's ingenuity ends at the concept. To back this opinion let me bring up some statistics: ~80% of people have killed the first enemy, ~50% have completed the first side quest, ~25% have completely finished the tutorial, and only ~15% have beaten the game. Considering the game's rather short - 6-10 hours - that's a pretty rapid dropoff rate, don't you think? 

Oh, but you could say that this is because playing as a blind person is probably not very fun for most people. That might be true, and indeed, it could be the reason for those low stats. To me, however, playing while blind was actually by far the best part of the game. I even played blindfolded, so that my brain would completely shut off the ""seeing"" functionality. Having my mind construct the world purely on the soundscape and how it changes was [strike]eye opening[/strike] quite something.

[h1]The Gameplay: Combat[/h1]
So how does it play? During fighting, you press arrow keys to attack an enemy that is standing in a given direction. Which direction? Use your ears. The enemy might block, so it's possible you'll have to attack when they're getting ready to strike themselves. Or block and counter. Sometimes you'll even have to face multiple enemies at once; headphones absolutely necessary.

Now that sounds pretty sweet, doesn't it? That's the thing. It gets boring pretty fast.

And this is arguably the biggest issue with the game. You fight quite a bit, and yet fighting simply doesn't feel good. I mean; I can confidently say the devs juiced it up as much as possible. The slash sounds, the footsteps, the grunts and screams, all top notch. But I feel like the format itself is just... not that fun. 

[h1]The Gameplay: Other[/h1]
You also get to walk around a bit. That's much more interesting, having to navigate purely based on sound. It's a lot more fun than it sounds, and noticing the sounds spicing up your idea of the world is also quite amazing. Sadly, again: once the novelty runs out it just becomes... flat.

There's also some system of managing weapons and inventory. Navigating the menus is not fun as well, probably because you have to hear the explanation of what options are there and how to choose between them. I feel like this part could've been done better, but how? Using shortcuts maybe? 

[h1]Conclusion[/h1]
I'm not going to lie, I wouldn't know how to make a good game in which you can't see a thing. This is definitely a noble attempt, and we need more of those - if nothing else, so that one eventually gets it right and creates a completely new way to include lots of previously excluded people in the world of video games.

All my complaints... for blind people this is probably normal, in which case I'm really sorry. I'll never take my sight for granted, and I hope that one day technology allows you to perceive the world the way we, seeing folk, do. Or at least to give us a game that both groups of people can enjoy just the same. This one is probably not it, even if it's arguably worth playing just to understand how the world looks like to those who can't see.

[url=https://store.steampowered.com/curator/42922988/]Curator Page[/url]",FALSE,40,2022-12-05 16:11:08
26,english,"A unique game that definitely deserves more recognition.
Playing as the blind Princess Alex, you are desperate to get to safety. The only handicap is that you can not see anything and must rely on your hearing to see you to safety. 
The audio for the game is absolutely incredible and crisp, the orbs/fireflies you see throughout the game are rather hypnotic too.

The game is best played with headphones!",TRUE,7,2021-09-07 00:06:09
480,english,"A great time! Made me realize how hard most other games lean on eye candy to gloss over mediocrity on so many other fronts.

Only caveat I can think of is, make sure you have a good set of headphones. The archery does require some good hand-ear coordination, which would be difficult without stereo sound.",TRUE,8,2021-12-22 06:59:54
356,english,"A very unique experience. A true test of game design and narrative design mastery. 
And I think that devs passed the test well!

Plus, I want to note the performance of the voice actors. 

If you're reading this and thinking whether you should play it or not, hear me out.

It's mostly a linear, but still great fantasy story. The gameplay is not that sophisticated, but it's entertaining enough.
But the main thing is that there are no games like that.

[b]Try it.[/b]
",TRUE,5,2022-12-05 19:33:29
1385,english,"My only complaint about this beautiful game is its length...I want more!!! I was impressed by The Vale's narrative, pacing, and worldbuilding. As a sighted person, I also loved the empathy generated by the blind perspective of the main character, and how much agency she has. Hey dev team: I beg of you, please make a sequel or ten.",TRUE,10,2022-03-10 23:28:06
617,english,"An incredible experience, with no visuals throughout aside from the necessary menus, which are all beautifully narrated, and the wonderfully done visual ambience that works both as a way to orient ones self for those who can see, but also add to the environment, by falling like rain or snow, or rising like embers. 

Yet despite the lack of more complex visuals, I don't think the game loses a single thing compared to even large titles. The story and world are deeply immersive in a way that's incredibly unique, that may be even more immersive than the most polished visuals, as it makes you see the world in your mind. That alone to me feels worthwhile, even if just for the new focus on a sense considered secondary for most people. 

The game-play itself is intuitive and enjoyable, simple at its core, yet provides a challenge, and takes both focus and practice to master. It is truly unlike any other game I've played in the most amazing way. The story itself isn't long, even with all the side quests along the way, but it is packed with emotional moments, wonder, and good twists that only serve to deepen the story. It's, some of the most incredible representation, both for the disabled community, as well as women in both a form of media, and in a genre that sorely lacks stories focused on women as people.

I look forward to future works in this style, especially if its more in this world that they created, and just like the hero of its story, this game can take on giants, despite its, or rather, because of its differences.",TRUE,6,2023-07-17 13:51:59
551,english,"At the very least I have to recommend this as I'm not sure I've played anything like it, nor do I expect to again in the future. It's not some exceptional experience that is above all games or something. It's an intimate leap into bounds of the lives of other real people, and done tastefully so.

When I got The Vale I thought it would be just a novelty accessibility game for the blind. It certainly fits that category, but I got a little more than that. I am sighted, so I used a blindfold/darkness and played with a keyboard and mouse. Surround sound headphones are pretty much obligatory, since essentially every gimmick relies on your ability to detect the directions of sounds in the environment and combat.

You play a blind princess in a medieval setting. Most of this is pretty cliche, but some characters add some personality to pull you along the narrative enough to stay interested. Being purely audio, the voice acting and music is pretty good, as you could expect. I also felt like the directional aspects of the surround sound were very accurate and played well to the main designs around this concept.

I do think that the plot thickens and twists near its abrupt end, which is a shame. It took me around 10 hours to complete, but it felt like it could have been summed up better in another hour or two of more deliberately unraveling some of the story's complexities instead of oversimplifying its resolution.  

The game follows a pattern where you go from destination to destination as a ""base"" in which you find a few quests/town interactions where you must rely on sound to avoid hazards and attack/defend in combat. You get a bow, heavy or light weapon, armor, and shield to upgrade over time in a linear fashion. I don't see why someone would play and not do all of the few quests in each town, so you're never out of money and there is not much choice there. This system could have been expanded slightly, I think. You also gain an ability later on that can affect different aspects of combat that has different ways of being upgraded, as well as forks in the story that you do choose to change, albeit with the same ultimate destination.

The uniqueness of gameplay of The Vale is enough to try, and its quality for being developed by such a small group is admirable and impressive. I definitely recommend it for any PC gamer who wants something different, and, of course, for those without sight, I cannot speak to how this experience would be for them, but I think it would still be fun and challenging.",TRUE,8,2023-11-26 06:00:24
254,english,"Just played the first hour now, and wow what an experience. I can't wait to see what's in store for the rest of the game. I recommend playing with good headphones for the best experience",TRUE,10,2021-12-01 03:01:50
423,english,"Very nice game. What it does, it does extremely well, especially the audio and story. Original too. It is not cutting any corners for its setup. Gameplay length is about 5-7 hours and that is perfect for what it is. It is great for visually impaired and regular gamers who like RPGs.

Tip: Difficulty can be adjusted at any time, so you can play on hard and then adjust it where necessary if you would want to keep it challenging, but not overly difficult.",TRUE,4,2021-11-29 01:12:47
861,english,"One of the most unique games for me to play. it is very easy to grasp the mechanics as the game guides you through them one after the other. I generally struggle with seeing in some games which hinders my ability to enjoy the experience. However, this one was very engaging to the point where I felt entranced without having to worry about not seeing something or straining my eyes. I love the story, the effort put into the audio, and the advocacy aspect behind the game. 

Highly recommended for a nice, engaging, and exciting experience.",TRUE,5,2023-06-22 10:28:49
